fips;unemp
17089;55
17091;64
17093;52
17095;61
17097;52
17099;67
17101;75
17103;51
17105;55
17107;53
17109;63
17111;53
17113;51
17115;66
17117;60
17119;59
17121;64
17123;66
17125;71
17127;70
17129;46
17131;62
17133;41
17135;71
17137;49
17139;46
17141;59
17143;68
17145;71
17147;50
17149;51
17151;70
17153;88
17155;56
17157;50
17159;60
17161;63
17163;61
17165;86
17167;49
17169;58
17171;56
17173;58
17175;72
17177;58
17179;63
17181;74
17183;72
17185;64
17187;53
17189;38
17191;86
17193;66
17195;58
17197;61
17199;62
17201;66
17203;54
18001;36
18003;43
18005;34
18007;42
18009;54
18011;34
18013;40
18015;42
18017;47
18019;41
18021;47
18023;39
18025;56
18027;36
18029;47
18031;36
18033;39
18035;52
18037;31
18039;35
18041;58
18043;41
18045;58
18047;43
18049;47
18051;37
18053;50
18055;66
18057;32
18059;38
18061;42
18063;35
18065;46
18067;47
18069;41
18071;37
18073;53
18075;46
18077;47
18079;48
18081;36
18083;44
18085;37
18087;34
18089;63
18091;59
18093;57
18095;50
18097;44
18099;38
18101;42
18103;47
18105;46
18107;39
18109;42
18111;56
18113;41
18115;49
18117;51
18119;55
18121;53
18123;46
18125;44
18127;51
18129;40
18131;46
18133;45
18135;45
18137;46
18139;38
18141;45
18143;48
18145;40
18147;41
18149;54
18151;37
18153;59
18155;49
18157;40
18159;39
18161;40
18163;41
18165;66
18167;54
18169;43
18171;49
18173;41
18175;45
18177;48
18179;36
18181;40
18183;39
19001;30
19003;27
19005;50
19007;48
19009;33
19011;36
19013;47
19015;28
19017;37
19019;42
19021;36
19023;44
19025;39
19027;26
19029;33
19031;34
19033;37
19035;37
19037;45
19039;34
19041;39
19043;43
19045;50
19047;56
19049;27
19051;43
19053;33
19055;35
19057;50
19059;44
19061;36
19063;43
19065;45
19067;37
19069;35
19071;33
19073;32
19075;35
19077;36
19079;38
19081;27
19083;40
19085;34
19087;36
19089;37
19091;29
19093;26
19095;31
19097;42
19099;36
19101;37
19103;26
19105;43
19107;44
19109;27
19111;62
19113;37
19115;40
19117;32
19119;21
19121;36
19123;38
19125;31
19127;49
19129;37
19131;27
19133;42
19135;47
19137;36
19139;39
19141;28
19143;27
19145;51
19147;32
19149;26
19151;29
19153;35
19155;34
19157;35
19159;35
19161;31
19163;46
19165;30
19167;23
19169;24
19171;42
19173;30
19175;38
19177;37
19179;59
19181;32
19183;30
19185;39
19187;40
19189;35
19191;36
19193;36
19195;35
19197;42
20001;59
20003;45
20005;64
20007;41
20009;47
20011;51
20013;39
20015;43
20017;37
20019;55
20021;46
20023;29
20025;29
20027;45
20029;45
20031;63
20033;34
20035;46
20037;50
20039;42
20041;46
20043;41
20045;36
20047;31
20049;53
20051;32
20053;42
20055;32
20057;33
20059;43
20061;58
20063;26
20065;50
20067;38
20069;23
20071;23
20073;52
20075;27
20077;39
20079;44
20081;27
20083;29
20085;36
20087;41
20089;47
20091;33
20093;33
20095;47
20097;29
20099;57
20101;34
20103;44
20105;38
20107;67
20109;28
20111;42
20113;33
20115;43
20117;32
20119;29
20121;43
20123;36
20125;64
20127;41
20129;41
20131;28
20133;75
20135;38
20137;26
20139;46
20141;37
20143;40
20145;36
20147;32
20149;35
20151;43
20153;26
20155;46
20157;29
20159;42
20161;33
20163;52
20165;42
20167;45
20169;38
20171;26
20173;48
20175;46
20177;41
20179;26
20181;35
20183;35
20185;41
20187;31
20189;44
20191;44
20193;29
20195;42
20197;38
20199;29
20201;35
20203;25
20205;64
20207;62
20209;57
21001;66
21003;42
21005;40
21007;86
21009;46
21011;72
21013;90
21015;38
21017;47
21019;81
21021;49
21023;60
21025;94
21027;60
21029;41
21031;53
21033;53
21035;45
21037;38
21039;59
21041;50
21043;102
21045;46
21047;60
21049;47
21051;96
21053;73
21055;50
21057;55
21059;45
21061;61
21063;109
21065;57
21067;35
21069;59
21071;109
21073;40
21075;68
21077;48
21079;47
21081;49
21083;60
21085;64
21087;44
21089;86
21091;54
21093;44
21095;121
21097;46
21099;46
21101;47
21103;41
21105;56
21107;55
21109;75
21111;44
21113;38
21115;96
21117;41
21119;112
21121;79
21123;45
21125;61
21127;104
21129;92
21131;130
21133;119
21135;92
21137;60
21139;70
21141;42
21143;56
21145;57
21147;77
21149;48
21151;41
21153;188
21155;41
21157;56
21159;101
21161;61
21163;50
21165;84
21167;47
21169;45
21171;40
21173;63
21175;78
21177;70
21179;45
21181;54
21183;65
21185;34
21187;41
21189;94
21191;48
21193;105
21195;108
21197;70
21199;53
21201;59
21203;59
21205;55
21207;83
21209;37
21211;35
21213;44
21215;38
21217;51
21219;42
21221;56
21223;53
21225;67
21227;39
21229;41
21231;73
21233;59
21235;65
21237;97
21239;32
22001;74
22003;64
22005;49
22007;85
22009;71
22011;60
22013;77
22015;54
22017;66
22019;48
22021;76
22023;44
22025;93
22027;67
22029;83
22031;74
22033;51
22035;117
22037;57
22039;74
22041;91
22043;70
22045;94
22047;68
22049;57
22051;53
22053;60
22055;62
22057;63
22059;66
22061;65
22063;51
22065;90
22067;98
22069;70
22071;59
22073;61
22075;53
22077;65
22079;61
22081;61
22083;74
22085;69
22087;61
22089;53
22091;76
22093;75
22095;68
22097;81
22099;78
22101;94
22103;50
22105;67
22107;99
22109;70
22111;65
22113;77
22115;73
22117;70
22119;86
22121;53
22123;119
22125;51
22127;78
23001;36
23003;57
23005;29
23007;44
23009;47
23011;36
23013;36
23015;38
23017;48
23019;44
23021;54
23023;30
23025;58
23027;42
23029;62
23031;34
24001;61
24003;37
24005;45
24009;38
24011;47
24013;35
24015;51
24017;42
24019;60
24021;37
24023;55
24025;41
24027;32
24029;47
24031;33
24033;44
24035;38
24037;41
24039;70
24041;41
24043;49
24045;60
24047;90
24510;63
25001;47
25003;43
25005;47
25007;50
25009;38
25011;33
25013;50
25015;33
25017;30
25019;42
25021;32
25023;39
25025;34
25027;39
26001;74
26003;80
26005;37
26007;57
26009;68
26011;81
26013;79
26015;38
26017;52
26019;64
26021;48
26023;46
26025;46
26027;46
26029;53
26031;90
26033;74
26035;72
26037;36
26039;74
26041;63
26043;52
26045;40
26047;62
26049;54
26051;68
26053;65
26055;41
26057;50
26059;49
26061;59
26063;50
26065;41
26067;41
26069;71
26071;65
26073;45
26075;47
26077;39
26079;69
26081;34
26083;84
26085;73
26087;65
26089;47
26091;45
26093;42
26095;65
26097;94
26099;53
26101;63
26103;56
26105;56
26107;54
26109;56
26111;45
26113;57
26115;43
26117;50
26119;97
26121;52
26123;47
26125;42
26127;71
26129;75
26131;83
26133;55
26135;72
26137;57
26139;32
26141;92
26143;81
26145;51
26147;62
26149;40
26151;60
26153;91
26155;51
26157;61
26159;55
26161;34
26163;64
26165;56
27001;70
27003;38
27005;47
27007;53
27009;45
27011;49
27013;32
27015;41
27017;54
27019;33
27021;67
27023;45
27025;44
27027;35
27029;96
27031;46
27033;73
27035;51
27037;34
27039;38
27041;35
27043;44
27045;41
27047;39
27049;38
27051;47
27053;34
27055;40
27057;65
27059;47
27061;87
27063;45
27065;66
27067;38
27069;47
27071;85
27073;43
27075;65
27077;47
27079;49
27081;36
27083;36
27085;45
27087;57
27089;74
27091;42
27093;45
27095;60
27097;57
27099;32
27101;48
27103;28
27105;38
27107;49
27109;30
27111;44
27113;58
27115;59
27117;39
27119;44
27121;36
27123;36
27125;72
27127;41
27129;53
27131;35
27133;23
27135;51
27137;58
27139;33
27141;41
27143;43
27145;38
27147;36
27149;30
27151;53
27153;47
27155;37
27157;37
27159;60
27161;43
27163;34
27165;50
27167;33
27169;36
27171;39
27173;39
28001;83
28003;52
28005;74
28007;67
28009;67
28011;73
28013;54
28015;75
28017;66
28019;57
28021;114
28023;68
28025;81
28027;88
28029;65
28031;55
28033;42
28035;57
28037;72
28039;74
28041;73
28043;52
28045;61
28047;55
28049;54
28051;110
28053;114
28055;143
28057;50
28059;65
28061;77
28063;149
28065;83
28067;61
28069;87
28071;48
28073;45
28075;59
28077;71
28079;61
28081;48
28083;93
28085;57
28087;62
28089;43
28091;66
28093;60
28095;63
28097;64
28099;58
28101;60
28103;83
28105;55
28107;74
28109;60
28111;71
28113;68
28115;48
28117;55
28119;97
28121;40
28123;46
28125;89
28127;54
28129;53
28131;67
28133;95
28135;68
28137;58
28139;55
28141;55
28143;71
28145;44
28147;77
28149;64
28151;90
28153;73
28155;63
28157;102
28159;71
28161;62
28163;74
29001;57
29003;38
29005;46
29007;42
29009;45
29011;52
29013;53
29015;61
29017;51
29019;32
29021;41
29023;57
29025;46
29027;41
29029;57
29031;43
29033;54
29035;70
29037;41
29039;50
29041;43
29043;39
29045;73
29047;39
29049;42
29051;36
29053;49
29055;53
29057;44
29059;55
29061;38
29063;44
29065;54
29067;61
29069;82
29071;44
29073;43
29075;37
29077;38
29079;46
29081;42
29083;50
29085;56
29087;33
29089;44
29091;63
29093;71
29095;51
29097;41
29099;43
29101;49
29103;35
29105;55
29107;43
29109;43
29111;45
29113;45
29115;68
29117;39
29119;43
29121;48
29123;55
29125;50
29127;43
29129;46
29131;52
29133;66
29135;43
29137;48
29139;46
29141;58
29143;93
29145;43
29147;46
29149;61
29151;34
29153;73
29155;89
29157;35
29159;49
29161;47
29163;45
29165;36
29167;48
29169;54
29171;45
29173;40
29175;52
29177;49
29179;65
29181;70
29183;35
29185;63
29186;46
29187;55
29189;42
29195;47
29197;63
29199;41
29201;57
29203;74
29205;41
29207;64
29209;70
29211;58
29213;74
29215;62
29217;48
29219;42
29221;63
29223;54
29225;49
29227;30
29229;59
29510;54
30001;33
30003;72
30005;46
30007;49
30009;39
30011;29
30013;40
30015;38
30017;35
30019;26
30021;39
30023;38
30025;36
30027;39
30029;56
30031;28
30033;28
30035;86
30037;44
30039;59
30041;43
30043;46
30045;34
30047;47
30049;33
30051;31
30053;90
30055;20
30057;38
30059;40
30061;76
30063;37
30065;51
30067;43
30069;48
30071;53
30073;42
30075;23
30077;50
30079;34
30081;48
30083;50
30085;53
30087;55
30089;78
30091;33
30093;43
30095;40
30097;31
30099;37
30101;35
30103;45
30105;34
30107;51
30109;38
30111;36
31001;33
31003;27
31005;62
31007;38
31009;45
31011;28
31013;38
31015;32
31017;39
31019;26
31021;38
31023;33
31025;35
31027;27
31029;22
31031;24
31033;30
31035;33
31037;30
31039;30
31041;25
31043;43
31045;31
31047;31
31049;28
31051;35
31053;32
31055;35
31057;23
31059;29
31061;31
31063;30
31065;29
31067;35
31069;34
31071;28
31073;27
31075;24
31077;33
31079;38
31081;29
31083;26
31085;25
31087;38
31089;26
31091;38
31093;35
31095;25
31097;33
31099;25
31101;31
31103;21
31105;43
31107;32
31109;29
31111;32
31113;29
31115;36
31117;24
31119;29
31121;38
31123;34
31125;28
31127;38
31129;31
31131;35
31133;24
31135;23
31137;26
31139;28
31141;37
31143;28
31145;30
31147;34
31149;27
31151;32
31153;30
31155;32
31157;36
31159;30
31161;30
31163;33
31165;28
31167;27
31169;26
31171;34
31173;50
31175;30
31177;33
31179;28
31181;33
31183;23
31185;28
32001;54
32003;58
32005;56
32007;45
32009;45
32011;46
32013;54
32015;62
32017;51
32019;74
32021;66
32023;73
32027;59
32029;63
32031;50
32033;46
32510;61
33001;28
33003;30
33005;27
33007;39
33009;24
33011;30
33013;25
33015;30
33017;25
33019;24
34001;74
34003;42
34005;44
34007;55
34009;98
34011;75
34013;60
34015;51
34017;47
34019;38
34021;43
34023;44
34025;44
34027;39
34029;52
34031;61
34033;63
34035;41
34037;47
34039;52
34041;46
35001;58
35003;82
35005;68
35006;83
35007;61
35009;51
35011;49
35013;72
35015;66
35017;66
35019;65
35021;72
35023;57
35025;95
35027;60
35028;42
35029;147
35031;95
35033;88
35035;60
35037;69
35039;75
35041;57
35043;67
35045;89
35047;77
35049;54
35051;85
35053;75
35055;85
35057;91
35059;41
35061;72
36001;40
36003;62
36005;71
36007;54
36009;59
36011;50
36013;58
36015;57
36017;50
36019;53
36021;37
36023;57
36025;55
36027;42
36029;49
36031;53
36033;56
36035;57
36037;46
36039;50
36041;65
36043;55
36045;62
36047;53
36049;67
36051;49
36053;52
36055;47
36057;57
36059;39
36061;45
36063;58
36065;48
36067;45
36069;43
36071;43
36073;57
36075;64
36077;49
36079;40
36081;45
36083;43
36085;52
36087;42
36089;66
36091;38
36093;43
36095;54
36097;60
36099;47
36101;58
36103;43
36105;48
36107;51
36109;41
36111;44
36113;52
36115;46
36117;49
36119;42
36121;53
36123;44
37001;47
37003;43
37005;56
37007;58
37009;48
37011;50
37013;57
37015;67
37017;69
37019;63
37021;38
37023;49
37025;45
37027;52
37029;52
37031;52
37033;54
37035;47
37037;42
37039;56
37041;64
37043;54
37045;55
37047;64
37049;53
37051;63
37053;52
37055;67
37057;48
37059;45
37061;54
37063;45
37065;86
37067;49
37069;51
37071;53
37073;52
37075;88
37077;43
37079;52
37081;52
37083;80
37085;57
37087;46
37089;42
37091;65
37093;65
37095;94
37097;48
37099;54
37101;46
37103;53
37105;59
37107;59
37109;46
37111;48
37113;54
37115;49
37117;67
37119;47
37121;61
37123;52
37125;50
37127;66
37129;47
37131;73
37133;55
37135;43
37137;53
37139;63
37141;53
37143;64
37145;55
37147;55
37149;47
37151;49
37153;70
37155;79
37157;56
37159;55
37161;67
37163;54
37165;92
37167;46
37169;48
37171;48
37173;61
37175;49
37177;84
37179;43
37181;72
37183;42
37185;73
37187;74
37189;45
37191;58
37193;48
37195;81
37197;44
37199;52
38001;27
38003;33
38005;41
38007;32
38009;48
38011;22
38013;49
38015;26
38017;23
38019;27
38021;20
38023;27
38025;31
38027;45
38029;45
38031;31
38033;28
38035;24
38037;32
38039;30
38041;31
38043;39
38045;25
38047;35
38049;51
38051;32
38053;38
38055;36
38057;46
38059;33
38061;31
38063;35
38065;54
38067;51
38069;41
38071;29
38073;23
38075;41
38077;28
38079;110
38081;20
38083;58
38085;44
38087;25
38089;40
38091;22
38093;25
38095;23
38097;29
38099;39
38101;42
38103;40
38105;44
39001;75
39003;50
39005;50
39007;60
39009;62
39011;37
39013;74
39015;57
39017;44
39019;68
39021;45
39023;52
39025;44
39027;58
39029;66
39031;70
39033;60
39035;54
39037;41
39039;48
39041;35
39043;55
39045;42
39047;44
39049;40
39051;46
39053;67
39055;44
39057;43
39059;70
39061;43
39063;36
39065;50
39067;75
39069;53
39071;63
39073;54
39075;35
39077;65
39079;78
39081;83
39083;45
39085;48
39087;64
39089;43
39091;42
39093;59
39095;51
39097;38
39099;63
39101;50
39103;43
39105;83
39107;32
39109;43
39111;111
39113;48
39115;81
39117;49
39119;60
39121;86
39123;64
39125;46
39127;62
39129;47
39131;74
39133;50
39135;47
39137;36
39139;55
39141;55
39143;47
39145;76
39147;48
39149;41
39151;54
39153;50
39155;67
39157;57
39159;38
39161;40
39163;70
39165;41
39167;69
39169;39
39171;44
39173;41
39175;37
40001;60
40003;34
40005;67
40007;32
40009;75
40011;38
40013;44
40015;54
40017;40
40019;52
40021;56
40023;78
40025;25
40027;39
40029;75
40031;47
40033;49
40035;49
40037;59
40039;47
40041;50
40043;41
40045;39
40047;43
40049;54
40051;50
40053;33
40055;75
40057;39
40059;39
40061;84
40063;75
40065;45
40067;72
40069;59
40071;64
40073;34
40075;54
40077;88
40079;70
40081;53
40083;41
40085;32
40087;42
40089;72
40091;90
40093;42
40095;51
40097;52
40099;45
40101;55
40103;37
40105;62
40107;62
40109;43
40111;72
40113;58
40115;51
40117;67
40119;38
40121;63
40123;41
40125;47
40127;76
40129;52
40131;51
40133;71
40135;63
40137;97
40139;35
40141;45
40143;47
40145;48
40147;49
40149;72
40151;33
40153;63
41001;64
41003;39
41005;44
41007;48
41009;62
41011;65
41013;70
41015;69
41017;49
41019;64
41021;59
41023;78
41025;63
41027;42
41029;58
41031;67
41033;66
41035;69
41037;64
41039;51
41041;57
41043;58
41045;56
41047;51
41049;50
41051;43
41053;51
41055;46
41057;50
41059;54
41061;59
41063;67
41065;49
41067;42
41069;43
41071;47
42001;40
42003;52
42005;76
42007;63
42009;59
42011;50
42013;53
42015;66
42017;46
42019;51
42021;69
42023;75
42025;60
42027;42
42029;39
42031;64
42033;74
42035;71
42037;56
42039;60
42041;41
42043;48
42045;49
42047;56
42049;66
42051;82
42053;80
42055;52
42057;64
42059;78
42061;71
42063;73
42065;69
42067;54
42069;57
42071;42
42073;68
42075;45
42077;54
42079;64
42081;67
42083;67
42085;60
42087;58
42089;63
42091;42
42093;43
42095;52
42097;63
42099;47
42101;68
42103;64
42105;79
42107;62
42109;47
42111;73
42113;72
42115;57
42117;72
42119;48
42121;73
42123;55
42125;62
42127;59
42129;59
42131;62
42133;47
44001;46
44003;48
44005;47
44007;57
44009;48
45001;53
45003;48
45005;85
45007;44
45009;90
45011;70
45013;46
45015;44
45017;60
45019;39
45021;57
45023;69
45025;48
45027;63
45029;54
45031;60
45033;66
45035;44
45037;55
45039;70
45041;51
45043;65
45045;41
45047;50
45049;57
45051;56
45053;42
45055;51
45057;52
45059;50
45061;69
45063;40
45065;55
45067;84
45069;82
45071;44
45073;50
45075;86
45077;48
45079;47
45081;44
45083;46
45085;57
45087;60
45089;75
45091;45
46003;21
46005;25
46007;37
46009;26
46011;26
46013;25
46015;24
46017;79
46019;32
46021;28
46023;30
46025;37
46027;28
46029;29
46031;42
46033;38
46035;23
46037;41
46039;46
46041;85
46043;24
46045;22
46047;42
46049;25
46051;31
46053;29
46055;23
46057;32
46059;20
46061;32
46063;27
46065;22
46067;24
46069;25
46071;39
46073;22
46075;23
46077;25
46079;32
46081;31
46083;20
46085;45
46087;23
46089;33
46091;36
46093;30
46095;39
46097;25
46099;24
46101;34
46102;100
46103;29
46105;28
46107;26
46109;39
46111;28
46115;29
46117;22
46119;22
46121;61
46123;21
46125;27
46127;29
46129;48
46135;24
46137;42
47001;50
47003;51
47005;73
47007;71
47009;45
47011;45
47013;70
47015;47
47017;68
47019;57
47021;40
47023;51
47025;63
47027;67
47029;65
47031;48
47033;53
47035;60
47037;36
47039;70
47041;57
47043;44
47045;63
47047;52
47049;63
47051;50
47053;60
47055;41
47057;55
47059;55
